Model,model,train_mae,train_rmse,test_mae,test_rmse
LinearRegression_High_30,LinearRegression(),51.70891860251157,84.33452382633895,46.9717436524445,81.33601459176847
KNN_High_30,KNeighborsRegressor(),42.64642857142855,68.66916875356445,56.93303656597774,89.679421194004
LSTM_High_30,"<Sequential name=sequential_3, built=True>",7049.559051237416,9436.732666157413,6530.364624857941,9019.32739071635
LinearRegression_High_60,LinearRegression(),51.522224684631404,84.22372210941082,49.88338323650909,80.41709862413047
KNN_High_60,KNeighborsRegressor(),36.85089891632618,58.3335888587827,52.81908945686901,82.674611689751
LSTM_High_60,"<Sequential name=sequential_4, built=True>",7103.051527663662,9488.383377906202,6621.541714565289,8979.809165560922
LinearRegression_High_90,LinearRegression(),51.720831925428634,83.80633800810682,49.204647140864815,81.59071448164134
KNN_High_90,KNeighborsRegressor(),36.929139593002496,58.769966157340505,48.79014446227931,74.20484820380837
LSTM_High_90,"<Sequential name=sequential_5, built=True>",7115.020966310511,9489.357635747838,6814.5399064310495,9197.86502980274
